"Date","GameID","Drive","qtr","down","time","TimeUnder","TimeSecs","PlayTimeDiff","SideofField","yrdln","yrdline100","ydstogo","ydsnet","GoalToGo","FirstDown","posteam","DefensiveTeam","desc","PlayAttempted","Yards.Gained","sp","Touchdown","ExPointResult","TwoPointConv","DefTwoPoint","Safety","Onsidekick","PuntResult","PlayType","Passer","Passer_ID","PassAttempt","PassOutcome","PassLength","AirYards","YardsAfterCatch","QBHit","PassLocation","InterceptionThrown","Interceptor","Rusher","Rusher_ID","RushAttempt","RunLocation","RunGap","Receiver","Receiver_ID","Reception","ReturnResult","Returner","BlockingPlayer","Tackler1","Tackler2","FieldGoalResult","FieldGoalDistance","Fumble","RecFumbTeam","RecFumbPlayer","Sack","Challenge.Replay","ChalReplayResult","Accepted.Penalty","PenalizedTeam","PenaltyType","PenalizedPlayer","Penalty.Yards","PosTeamScore","DefTeamScore","ScoreDiff","AbsScoreDiff","HomeTeam","AwayTeam","Timeout_Indicator","Timeout_Team","posteam_timeouts_pre","HomeTimeouts_Remaining_Pre","AwayTimeouts_Remaining_Pre","HomeTimeouts_Remaining_Post","AwayTimeouts_Remaining_Post","No_Score_Prob","Opp_Field_Goal_Prob","Opp_Safety_Prob","Opp_Touchdown_Prob","Field_Goal_Prob","Safety_Prob","Touchdown_Prob","ExPoint_Prob","TwoPoint_Prob","ExpPts","EPA","airEPA","yacEPA","Home_WP_pre","Away_WP_pre","Home_WP_post","Away_WP_post","Win_Prob","WPA","airWPA","yacWPA","Season"
2015-09-27,"2015092709",26,4,NA,"00:47",1,47,0,"TEN",35,35,0,0,0,NA,"IND","TEN","(Onside Kick formation) R.Succop kicks 8 yards from TEN 35 to TEN 43, out of bounds.",1,0,0,0,NA,NA,NA,0,1,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,34,33,1,1,"TEN","IND",0,"None",2,2,2,2,2,0.720820787336515,0.0450723921189691,0.00314274620754314,0.0326930326259664,0.104328483982937,0.000430737249071402,0.0935118204789978,0,0,0.59807577264618,-0.59807577264618,NA,NA,0.231538875253802,0.768461124746198,0.307603436933,0.692396563067,0.768461124746198,-0.0760645616791981,NA,NA,2015
2015-09-27,"2015092702",30,4,NA,"02:34",3,154,4,"NYJ",35,35,0,0,0,NA,"PHI","NYJ","N.Folk kicks onside 12 yards from NYJ 35 to NYJ 47. S.Ajirotutu (didn't try to advance) to NYJ 48 for -1 yards.",1,-1,0,0,NA,NA,NA,0,1,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,23,17,6,6,"NYJ","PHI",0,"None",3,0,3,0,3,0.533042143967005,0.0794762632593604,0.00286575788547917,0.116794307673179,0.104928488500904,0.00157492789799175,0.161318110816081,0,0,0.385441637749975,1.83907422841786,NA,NA,0.133243043415135,0.866756956584865,0.0798079897875855,0.920192010212414,0.866756956584865,0.0534350536275496,NA,NA,2015
2015-09-27,"2015092712",21,4,NA,"07:56",8,476,0,"MIA",35,35,0,0,0,NA,"BUF","MIA","M.Darr kicks onside 10 yards from MIA 35 to MIA 45. P.Harvin (didn't try to advance) to MIA 44 for 1 yard (W.Aikens).",1,1,0,0,NA,NA,NA,0,1,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,"W.Aikens",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,33,14,19,19,"MIA","BUF",0,"None",2,3,2,3,2,0.237974862328381,0.131208376727071,0.00475342111904833,0.195182633017891,0.169712259921657,0.00260438789556638,0.258564058990386,0,0,0.554883564944263,2.60591222443656,NA,NA,0.0203036670354187,0.979696332964581,0.00868843486918813,0.991311565130812,0.979696332964581,0.0116152321662306,NA,NA,2015
2015-09-28,"2015092800",24,4,NA,"01:25",2,85,0,"KC",35,35,0,2,0,NA,"GB","KC","C.Santos kicks onside 13 yards from KC 35 to KC 48. M.Hyde (didn't try to advance) to KC 48 for no gain (J.O'Shaughnessy).",1,0,0,0,NA,NA,NA,0,1,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,38,28,10,10,"GB","KC",0,"None",0,0,2,0,2,0.689139730785484,0.0502824338279944,0.00350797148531052,0.0365246287650087,0.116106827533961,0.000480621488831526,0.103957786113409,0,0,0.663450582563748,1.3494229015598,NA,NA,0.980955446247862,0.0190445537521382,0.986823579012838,0.0131764209871623,0.980955446247862,0.00586813276497589,NA,NA,2015
2015-10-04,"2015100406",26,4,NA,"00:58",1,58,0,"TB",35,35,0,0,0,NA,"CAR","TB","K.Brindza kicks onside 13 yards from TB 35 to TB 48. J.Norman (didn't try to advance) to TB 48 for no gain.",1,0,0,0,NA,NA,NA,0,1,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,36,23,13,13,"TB","CAR",0,"None",2,2,2,2,2,0.71185505716194,0.046545430920426,0.00324597775460876,0.0337755595955445,0.107662673259908,0.000444839663458437,0.0964704616441149,0,0,0.616613765176138,-0.616613765176138,NA,NA,0.0052556340643255,0.994744365935675,0.0057622670285713,0.994237732971429,0.994744365935675,-0.000506632964245801,NA,NA,2015
2015-10-04,"2015100403",19,4,NA,"02:34",3,154,5,"KC",35,35,0,0,0,NA,"CIN","KC","C.Santos kicks onside 15 yards from KC 35 to 50. M.Sanu (didn't try to advance) to 50 for no gain (D.Sorensen).",1,0,0,0,NA,NA,NA,0,1,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,"D.Sorensen",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,36,21,15,15,"CIN","KC",0,"None",2,2,3,2,3,0.533042143967005,0.0794762632593604,0.00286575788547917,0.116794307673179,0.104928488500904,0.00157492789799175,0.161318110816081,0,0,0.385441637749975,1.71757719369611,NA,NA,0.987288259211679,0.0127117407883213,0.991781579419433,0.00821842058056699,0.987288259211679,0.00449332020775428,NA,NA,2015
2015-10-11,"2015101104",22,4,NA,"01:05",2,65,0,"JAC",35,35,0,0,0,NA,"TB","JAC","(Onside Kick formation) J.Myers kicks onside 11 yards from JAC 35 to JAC 46. V.Jackson (didn't try to advance), dead ball declared at JAC 46 for no gain.",1,0,0,0,NA,NA,NA,0,1,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,30,31,-1,1,"TB","JAC",0,"None",2,2,0,2,0,0.706061217773027,0.0474979293214368,0.00331274163973716,0.0344758745308365,0.109816907202428,0.000453959172944907,0.0983813703595896,0,0,0.628577839510661,-0.628577839510661,NA,NA,0.532960126381517,0.467039873618483,0.44511345942542,0.55488654057458,0.532960126381517,-0.0878466669560962,NA,NA,2015
2015-10-11,"2015101110",23,4,NA,"01:40",2,100,5,"OAK",35,35,0,0,0,NA,"DEN","OAK","S.Janikowski kicks onside 14 yards from OAK 35 to OAK 49. D.Thomas (didn't try to advance) ran ob at OAK 49 for no gain.",1,0,0,0,NA,NA,NA,0,1,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,15,10,5,5,"OAK","DEN",0,"None",2,1,2,1,2,0.676104691758599,0.0524300731077456,0.00365860381263179,0.0381062894417004,0.120950351154047,0.000501188315921115,0.108248802409355,0,0,0.690243593919065,1.3309280701022,NA,NA,0.0854300856431506,0.914569914356849,0.0541248843613861,0.945875115638614,0.914569914356849,0.0313052012817645,NA,NA,2015
2015-10-15,"2015101500",21,4,NA,"01:29",2,89,0,"ATL",35,35,0,0,0,NA,"NO","ATL","M.Bosher kicks onside 11 yards from ATL 35 to ATL 46. W.Snead (didn't try to advance) to ATL 46 for no gain (R.Allen).",1,0,0,0,NA,NA,NA,0,1,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,"R.Allen",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,30,21,9,9,"NO","ATL",0,"None",0,0,2,0,2,0.685691851770688,0.0508502774641695,0.0035477945773924,0.0369426995383777,0.117388129431794,0.000486059208751497,0.105093188008826,0,0,0.67054350445873,1.4526651273038,NA,NA,0.972889752074767,0.0271102479252331,0.982292730271154,0.0177072697288456,0.972889752074767,0.00940297819638747,NA,NA,2015
2015-10-18,"2015101801",26,4,NA,"03:59",4,239,5,"WAS",35,35,0,21,0,NA,"NYJ","WAS","D.Hopkins kicks onside 31 yards from WAS 35 to NYJ 34. K.Davis (didn't try to advance) to NYJ 34 for no gain (J.Johnson).",1,0,0,0,NA,NA,NA,0,1,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,"J.Johnson",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,34,19,15,15,"NYJ","WAS",0,"None",2,2,2,2,2,0.447749467440565,0.0942837549708,0.0034039105720076,0.139001329564656,0.123806181104846,0.0018691768711736,0.189886179475951,0,0,0.441691760379535,0.856799977337244,NA,NA,0.975902684962617,0.0240973150373831,0.980434546694614,0.0195654533053856,0.975902684962617,0.00453186173199749,NA,NA,2015
